Cell	Comparison	Analysis_layer	Group_1	Group_2	Group_1_n	Group_2_n	Group_1_median	Group_2_median	Difference_in_medians	P_value	FDR	Cliffs_delta	Absolute_delta	Direction	Magnitude
T cells regulatory (Tregs)	IPAH_vs_Control	Primary	IPAH	Control	24	24	0.08906890615802515	0.09573274852017136	-0.0066638423621462	0.8933691314518538	1	-0.024305555555555556	0.024305555555555556	Lower_in_Group_1	negligible
Plasma cells	IPAH_vs_Control	Primary	IPAH	Control	24	24	0	8.513333289555e-5	-8.513333289555e-5	0.93728352840887	1	-0.013888888888888888	0.013888888888888888	Lower_in_Group_1	negligible
T cells CD4 memory activated	IPAH_vs_Control	Primary	IPAH	Control	24	24	0.01495617531590675	0.0125972480111304	0.00235892730477635	0.9917552787861964	1	-0.003472222222222222	0.003472222222222222	Lower_in_Group_1	negligible
Mast cells activated	IPAH_vs_Control	Primary	IPAH	Control	24	24	0	0	0	1	1	0.001736111111111111	0.001736111111111111	Higher_in_Group_1	negligible
Neutrophils	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0038740030817115	0.0084257066593283	-0.0045517035776168	0.0010305486111253201	0.02267206944475711	-0.7633136094674556	0.7633136094674556	Lower_in_Group_1	large
T cells CD4 memory resting	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.414659518218473	0.463215710795987	-0.04855619257751398	0.06486987027995914	0.6154093761784207	-0.4319526627218935	0.4319526627218935	Lower_in_Group_1	medium
B cells memory	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0094085679767909	0	0.0094085679767909	0.08932519147020075	0.6154093761784207	0.3727810650887574	0.3727810650887574	Higher_in_Group_1	medium
B cells naive	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0308564376577747	0.0442880293731466	-0.01343159171537189	0.11189261385062196	0.6154093761784207	-0.3727810650887574	0.3727810650887574	Lower_in_Group_1	medium
T cells CD4 memory activated	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.0211397826897193	0.0128372757544723	0.00830250693524699	0.1583928218500246	0.6969284161401083	0.33136094674556216	0.33136094674556216	Higher_in_Group_1	medium
Macrophages M2	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0.014547059539442	0.010566873730378	0.003980185809064	0.25841780884954685	0.8518639576018326	0.26627218934911245	0.26627218934911245	Higher_in_Group_1	small
Mast cells activated	Female_IPAH_vs_Female_Control	Secondary	IPAH	Control	13	13	0	0	0	0.29356260856788285	0.8518639576018326	0.1952662721893491	0.1952662721893491	Higher_in_Group_1	small
